title,year
Caste,1930
Little Miss Nobody,1933
Get Your Man,1934
The Way of Youth,1934
Evensong,1934
Three Witnesses,1935
Brewster's Millions,1935
Birds of a Feather,1935
Adventure Ltd.,1935
Jubilee Window,1935
The Ace of Spades,1935
Department Store,1935
The Lad,1935
Tomorrow We Live,1936
Men Are Not Gods,1936
Jury's Evidence,1936
The Squeaker,1937
Farewell Again,1937
The Spy in Black,1939
Too Dangerous to Live,1939
The Man in the Iron Mask,1939
Three Silent Men,1940
The Flying Squad,1940
Laddie,1940
A Chump at Oxford,1940
The Howards of Virginia,1940
Vigil in the Night,1940
Women in War,1940
Fantasia,1940
Bulldog Sees It Through,1940
East of Piccadilly,1941
They Dare Not Love,1941
"H.M. Pulham, Esq.",1941
I Wanted Wings,1941
Calling Dr. Gillespie,1942
Pierre of the Plains,1942
"Hello, Annapolis",1942
The Impatient Years,1944
"Welcome, Mr. Washington",1944
I Live in Grosvenor Square,1945
State Fair,1945
Over 21,1945
Meet Sexton Blake!,1945
Journey Together,1945
The Killers,1946
Gaiety George,1946
The Time of Their Lives,1946
Without Reservations,1946
Piccadilly Incident,1946
Great Expectations,1946
Anna and the King of Siam,1946
I See a Dark Stranger,1946
Johnny O'Clock,1947
The Master of Bankdam,1947
Meet Me at Dawn,1947
Hungry Hill,1947
Captain Boycott,1947
Mourning Becomes Electra,1947
Odd Man Out,1947
Scott of the Antarctic,1948
Moonrise,1948
The Luck of the Irish,1948
A Woman's Vengeance,1948
If You Knew Susie,1948
Penny and the Pownall Case,1948
Saraband for Dead Lovers,1948
One Night with You,1948
Oliver Twist,1948
Corridor of Mirrors,1948
A Song for Tomorrow,1948
Hamlet,1948
The Tender Years,1948
The Snake Pit,1948
Esther Waters,1948
The Lady Gambles,1949
Landfall,1949
The History of Mr. Polly,1949
A Run for Your Money,1949
Obsession,1949
City Across the River,1949
The Glass Mountain,1949
Trottie True,1949
Take One False Step,1949
The Story of Seabiscuit,1949
That Forsyte Woman,1949
Give Us This Day,1949
Johnny Stool Pigeon,1949
Kind Hearts and Coronets,1949
Bara en mor,1949
Criss Cross,1949
Adam and Evelyne,1949
Tony Draws a Horse,1950
Last Holiday,1950
Prelude to Fame,1950
The Vicious Years,1950
The Mudlark,1950
Woman in Hiding,1950
Trio,1950
They Were Not Divided,1950
Your Witness,1950
Winchester '73,1950
Sierra,1950
Francis,1950
I Was a Shoplifter,1950
Kansas Raiders,1950
Lady Godiva Rides Again,1951
The House in the Square,1951
The Prince Who Was a Thief,1951
Hollywood Story,1951
Captain Horatio Hornblower R.N.,1951
Meet Danny Wilson,1951
The Man in the White Suit,1951
Valley of Eagles,1951
The Lavender Hill Mob,1951
Hold That Line,1952
No Room for the Groom,1952
Rose of Cimarron,1952
Son of Ali Baba,1952
Flesh and Fury,1952
The Card,1952
Babes in Bagdad,1952
Salute the Toff,1952
Moulin Rouge,1952
The Crimson Pirate,1952
Top Secret,1952
The Gentle Gunman,1952
"Time, Gentlemen, Please!",1952
Paul Temple Returns,1952
I Believe in You,1952
Houdini,1953
The Captain's Paradise,1953
Ingen mans kvinna,1953
Malta Story,1953
The Square Ring,1953
Forbidden,1953
"Albert, R.N.",1953
The Broken Horseshoe,1953
All American,1953
Innocents in Paris,1953
Laxdale Hall,1953
The Kidnappers,1953
Skid Kids,1953
Impulse,1954
The Green Scarf,1954
Aunt Clara,1954
Beautiful Stranger,1954
The Good Die Young,1954
Happy Ever After,1954
The Black Shield of Falworth,1954
Beachhead,1954
The Sea Shall Not Have Them,1954
Johnny Dark,1954
Father Brown,1954
Destination Milan,1954
Beau Brummell,1954
Trouble in the Glen,1954
The Divided Heart,1954
The Black Knight,1954
So This Is Paris,1954
The Prisoner,1955
The Square Jungle,1955
The Colditz Story,1955
The End of the Affair,1955
The Dam Busters,1955
Cast a Dark Shadow,1955
The Woman for Joe,1955
Geordie,1955
The Lyons in Paris,1955
Final Column,1955
Stolen Assignment,1955
One Way Out,1955
Children Galore,1955
A Kid for Two Farthings,1955
Six Bridges to Cross,1955
Police Dog,1955
The Dark Avenger,1955
Raising a Riot,1955
The Cockleshell Heroes,1955
The Night My Number Came Up,1955
Storm Over the Nile,1955
Track the Man Down,1955
The Rawhide Years,1955
The Purple Mask,1955
That Lady,1955
The Ladykillers,1955
To Paris with Love,1955
Alexander the Great,1956
It's Great to Be Young!,1956
The Last Man to Hang?,1956
Wicked as They Come,1956
Zarak,1956
The Iron Petticoat,1956
Private's Progress,1956
The Hostage,1956
Three Brave Men,1956
Port Afrique,1956
The Extra Day,1956
Trapeze,1956
Reach for the Sky,1956
Magic Fire,1956
The Battle of the River Plate,1956
Beyond Mombasa,1956
The Swan,1956
Port of Escape,1956
Doctor at Large,1957
A Dangerous Age,1957
These Dangerous Years,1957
The Traitor,1957
After the Ball,1957
Fortune Is a Woman,1957
The Passionate Stranger,1957
Yangtse Incident: The Story of H.M.S. Amethyst,1957
Witness for the Prosecution,1957
Time Without Pity,1957
Face in the Night,1957
The True Story of Jesse James,1957
The Truth About Women,1957
Det sjunde inseglet,1957
The One That Got Away,1957
The Admirable Crichton,1957
Mister Cory,1957
Seven Waves Away,1957
The Midnight Story,1957
Ill Met by Moonlight,1957
Barnacle Bill,1957
The Bridge on the River Kwai,1957
Sweet Smell of Success,1957
The Man in the Sky,1957
A King in New York,1957
Bitter Victory,1957
Not Wanted on Voyage,1957
Manuela,1957
The Spaniard's Curse,1958
Violent Playground,1958
A Tale of Two Cities,1958
Kings Go Forth,1958
Dunkirk,1958
The Sheriff of Fractured Jaw,1958
Wonderful Things!,1958
Battle of the V-1,1958
Gideon's Day,1958
Ansiktet,1958
A Night to Remember,1958
Spion 503,1958
La morte viene dallo spazio,1958
The Bravados,1958
Flaming Frontier,1958
The Perfect Furlough,1958
The Vikings,1958
The Geisha Boy,1958
Floods of Fear,1958
Son of Robin Hood,1958
Rooney,1958
The Camp on Blood Island,1958
The Defiant Ones,1958
The Horse's Mouth,1958
Our Man in Havana,1959
The Mouse That Roared,1959
Some Like It Hot,1959
The Bridal Path,1959
Blind Date,1959
The Cat Gang,1959
Man Accused,1959
John Paul Jones,1959
Jet Storm,1959
The Last Angry Man,1959
The Treasure of San Teresa,1959
Operation Petticoat,1959
Carry on Teacher,1959
Whirlpool,1959
The Scapegoat,1959
Idol on Parade,1959
Who Was That Lady?,1960
Suspect,1960
Man in the Moon,1960
Beat Girl,1960
A French Mistress,1960
Two Way Stretch,1960
Cone of Silence,1960
Depth Charge,1960
Spartacus,1960
Caught in the Net,1960
Too Hot to Handle,1960
Piccadilly Third Stop,1960
The Young Jacobites,1960
The Shakedown,1960
Pepe,1960
The Bulldog Breed,1960
The Challenge,1960
Tunes of Glory,1960
The Rat Race,1960
Jackpot,1960
Crossroads to Crime,1960
Sword of Sherwood Forest,1960
Das Geheimnis der gelben Narzissen,1961
The Mark,1961
Johnny Nobody,1961
The Green Helmet,1961
One Plus One,1961
The Breaking Point,1961
On the Fiddle,1961
Don't Bother to Knock,1961
Dentist on the Job,1961
Cash on Demand,1961
Fury at Smugglers' Bay,1961
The Frightened City,1961
Three on a Spree,1961
The Hellfire Club,1961
Carry on Regardless,1961
The Naked Edge,1961
Two Letter Alibi,1961
Everything's Ducky,1961
What a Whopper,1961
A Majority of One,1961
The Outsider,1961
Girl on Approval,1961
Spare the Rod,1961
Raising the Wind,1961
The Sinister Man,1961
The Great Impostor,1961
The Terror of the Tongs,1961
The Counterfeit Traitor,1962
Sherlock Holmes und das Halsband des Todes,1962
The Pirates of Blood River,1962
Nils Holgerssons underbara resa,1962
I Thank a Fool,1962
A Kind of Loving,1962
Play It Cool,1962
Band of Thieves,1962
The Devil's Agent,1962
Crooks Anonymous,1962
Locker 69,1962
Mutiny on the Bounty,1962
The Password Is Courage,1962
The War Lover,1962
On the Beat,1962
The Boys,1962
Billy Budd,1962
Term of Trial,1962
Two and Two Make Six,1962
Lawrence of Arabia,1962
The Loneliness of the Long Distance Runner,1962
Night of the Prowler,1962
The Road to Hong Kong,1962
The Fast Lady,1962
Lolita,1962
The Dock Brief,1962
The Girl on the Boat,1962
Taras Bulba,1962
The L-Shaped Room,1962
40 Pounds of Trouble,1962
H.M.S. Defiant,1962
The Three Stooges in Orbit,1962
The Pot Carriers,1962
A Stitch in Time,1963
Live It Up!,1963
Ladies Who Do,1963
The Victors,1963
Jason and the Argonauts,1963
From Russia with Love,1963
Girl in the Headlines,1963
Carry On Jack,1963
Doomsday at Eleven,1963
The List of Adrian Messenger,1963
"Captain Newman, M.D.",1963
The Wrong Arm of the Law,1963
The Partner,1963
The Cracksman,1963
The Running Man,1963
Siege of the Saxons,1963
Murder at the Gallop,1963
The Punch and Judy Man,1963
Heavens Above!,1963
The Small World of Sammy Lee,1963
The Mouse on the Moon,1963
I Could Go on Singing,1963
Lunch Hour,1963
Dr. Crippen,1963
The Man Who Finally Died,1963
Tom Jones,1963
Bitter Harvest,1963
Summer Holiday,1963
The Comedy Man,1964
Sex and the Single Girl,1964
The Beauty Jungle,1964
Carry on Cleo,1964
The Sicilians,1964
Paris - When It Sizzles,1964
Daylight Robbery,1964
Goodbye Charlie,1964
Rattle of a Simple Man,1964
The Devil-Ship Pirates,1964
The Bargee,1964
Wild and Wonderful,1964
Seventy Deadly Pills,1964
Goldfinger,1964
633 Squadron,1964
Nothing But the Best,1964
Man in the Middle,1964
Mary Poppins,1964
Girl with Green Eyes,1964
A Hard Day's Night,1964
Becket,1964
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
For Those Who Think Young,1964
Murder Most Foul,1964
Hide and Seek,1964
Stopover Forever,1964
Father Came Too!,1964
The Fall of the Roman Empire,1964
Catch Us If You Can,1965
The Reward,1965
Thunderball,1965
Three Hats for Lisa,1965
Carry on Cowboy,1965
Mr. Brown Comes Down the Hill,1965
The Secret of Blood Island,1965
The Alphabet Murders,1965
Dr. Who and the Daleks,1965
A Rage to Live,1965
The Great Race,1965
The Heroes of Telemark,1965
The Liquidator,1965
Ten Little Indians,1965
Bunny Lake Is Missing,1965
The Big Job,1965
"Boeing, Boeing",1965
The Slender Thread,1965
She,1965
The Greatest Story Ever Told,1965
A Study in Terror,1965
The Collector,1965
Operation Crossbow,1965
It Happened Here,1965
Joey Boy,1965
I've Gotta Horse,1965
The Face of Fu Manchu,1965
The Pleasure Girls,1965
The Bedford Incident,1965
Rotten to the Core,1965
Licensed to Kill,1965
Von Ryan's Express,1965
Situation Hopeless... But Not Serious,1965
Strangler's Web,1965
Dateline Diamonds,1965
