rank,company,symbol,ytd_return
1,"Robinhood Markets, Inc.",HOOD,258.61
2,Western Digital,WDC,188.10
3,Seagate Technology,STX,168.27
4,Newmont,NEM,163.37
5,Micron Technology,MU,141.81
6,Palantir Technologies,PLTR,138.50
7,Advanced Micro Devices,AMD,98.13
8,Lam Research,LRCX,96.59
9,Oracle Corporation,ORCL,90.48
10,NRG Energy,NRG,86.91
11,AppLovin Corporation,APP,86.82
12,Intel,INTC,85.34
13,Amphenol,APH,84.10
14,Corning Inc.,GLW,83.32
15,GE Vernova,GEV,82.91
16,CVS Health,CVS,82.23
17,Supermicro,SMCI,81.49
18,GE Aerospace,GE,80.17
19,Constellation Energy,CEG,79.10
20,"Tapestry, Inc.",TPR,79.05
21,Howmet Aerospace,HWM,75.40
22,Warner Bros. Discovery,WBD,74.22
23,KLA Corporation,KLAC,74.01
24,Monolithic Power Systems,MPWR,73.00
25,Paramount Skydance Corp,PSKY,61.68
26,DoorDash,DASH,61.34
27,Interactive Brokers Group,IBKR,57.39
28,TE Connectivity,TEL,56.40
29,Vistra Corp.,VST,54.73
30,Idexx Laboratories,IDXX,53.81
31,Broadcom,AVGO,53.00
32,Uber,UBER,52.65
33,"EMCOR Group, Inc.",EME,51.96
34,Huntington Ingalls Industries,HII,50.97
35,Caterpillar Inc.,CAT,50.00
36,eBay,EBAY,48.00
37,Jabil,JBL,44.78
38,United Rentals,URI,43.62
39,Cencora,COR,42.45
40,BNY Mellon,BK,41.62
41,Take-Two Interactive,TTWO,41.10
42,CrowdStrike,CRWD,40.88
43,HCA Healthcare,HCA,39.65
44,Ralph Lauren Corporation,RL,39.40
45,Citigroup,C,39.30
46,Applied Materials,AMAT,38.97
47,Aptiv,APTV,38.71
48,Quanta Services,PWR,38.50
49,Johnson Controls,JCI,38.25
50,McKesson Corporation,MCK,37.80
51,Dollar General,DG,37.52
52,Electronic Arts,EA,37.34
53,Welltower,WELL,37.12
54,First Solar,FSLR,36.53
55,L3Harris,LHX,36.21
56,RTX Corporation,RTX,36.09
57,Allegion,ALLE,35.70
58,Wynn Resorts,WYNN,35.68
59,Nvidia,NVDA,35.65
60,Coinbase Global,COIN,35.18
61,Goldman Sachs,GS,34.40
62,Monster Beverage,MNST,33.98
63,TKO Group Holdings,TKO,33.56
64,Alphabet Inc. (Class A),GOOGL,33.56
65,Arista Networks,ANET,33.48
66,Netflix,NFLX,33.37
67,Dell Technologies,DELL,33.22
68,Alphabet Inc. (Class C),GOOG,33.11
69,Johnson & Johnson,JNJ,32.42
70,Invesco,IVZ,32.04
71,Royal Caribbean Group,RCL,31.69
72,Cardinal Health,CAH,31.68
73,Hasbro,HAS,31.47
74,Marathon Petroleum,MPC,30.80
75,Philip Morris International,PM,30.42
76,Morgan Stanley,MS,30.13
77,Estée Lauder Companies (The),EL,30.11
78,Valero Energy,VLO,30.05
79,Incyte,INCY,29.64
80,Leidos,LDOS,29.12
81,American Electric Power,AEP,28.96
82,O'Reilly Auto Parts,ORLY,28.86
83,Northrop Grumman,NOC,28.72
84,Charles Schwab Corporation,SCHW,28.56
85,Gilead Sciences,GILD,28.21
86,Atmos Energy,ATO,27.93
87,AbbVie,ABBV,27.85
88,Entergy,ETR,27.70
89,Evergy,EVRG,27.27
90,JPMorgan Chase,JPM,26.83
91,IBM,IBM,26.31
92,Verisign,VRSN,26.22
93,Exelon,EXC,26.16
94,W. R. Berkley Corporation,WRB,26.09
95,Steel Dynamics,STLD,25.98
96,General Dynamics,GD,25.88
97,AutoZone,AZO,25.68
98,Archer Daniels Midland,ADM,25.48
99,CenterPoint Energy,CNP,25.26
100,Dollar Tree,DLTR,25.07
101,Eversource Energy,ES,25.04
102,Xylem Inc.,XYL,24.58
103,Quest Diagnostics,DGX,24.40
104,Northern Trust,NTRS,24.37
105,WEC Energy Group,WEC,24.31
106,LabCorp,LH,23.91
107,Ulta Beauty,ULTA,23.64
108,Bunge Global,BG,23.52
109,Altria,MO,22.90
110,Norfolk Southern Railway,NSC,22.85
111,C.H. Robinson,CHRW,22.74
112,Teledyne Technologies,TDY,22.68
113,Insulet Corporation,PODD,22.35
114,Generac,GNRC,22.35
115,Mosaic Company (The),MOS,22.07
116,Cboe Global Markets,CBOE,21.72
117,Globe Life,GL,21.66
118,Rockwell Automation,ROK,21.63
119,Meta Platforms,META,21.62
120,Microsoft,MSFT,21.38
121,Martin Marietta Materials,MLM,21.23
122,Wells Fargo,WFC,21.22
123,Xcel Energy,XEL,21.17
124,Cummins,CMI,21.07
125,Southern Company,SO,20.66
126,Garmin,GRMN,20.30
127,Boeing,BA,20.11
128,NextEra Energy,NEE,19.63
129,CBRE Group,CBRE,19.50
130,Medtronic,MDT,19.34
131,ResMed,RMD,18.95
132,FirstEnergy,FE,18.91
133,Duke Energy,DUK,18.89
134,Ford Motor Company,F,18.74
135,Jacobs Solutions,J,18.59
136,"Rollins, Inc.",ROL,18.54
137,Ameren,AEE,18.25
138,Ventas,VTR,18.24
139,EQT Corporation,EQT,18.17
140,TJX Companies,TJX,18.12
141,Live Nation Entertainment,LYV,18.00
142,NiSource,NI,17.85
143,Walmart,WMT,17.84
144,DTE Energy,DTE,17.70
145,Fox Corporation (Class A),FOXA,17.64
146,3M,MMM,17.51
147,Cisco,CSCO,16.99
148,Bank of America,BAC,16.87
149,Steris,STE,16.79
150,Williams Companies,WMB,16.64
151,Fastenal,FAST,16.55
152,State Street Corporation,STT,16.48
153,PPL Corporation,PPL,16.44
154,Loews Corporation,L,16.14
155,AES Corporation,AES,15.89
156,Alliant Energy,LNT,15.77
157,Vulcan Materials Company,VMC,15.65
158,Prologis,PLD,15.62
159,BlackRock,BLK,15.53
160,"F5, Inc.",FFIV,15.43
161,Carnival,CCL,15.35
162,Ecolab,ECL,15.33
163,AT&T,T,15.31
164,Microchip Technology,MCHP,15.29
165,"Nasdaq, Inc.",NDAQ,15.09
166,American Water Works,AWK,15.06
167,Expedia Group,EXPE,15.03
168,Capital One,COF,14.67
169,Universal Health Services,UHS,14.52
170,Nucor,NUE,14.40
171,Parker Hannifin,PH,14.38
172,Dominion Energy,D,14.31
173,Consolidated Edison,ED,14.23
174,Genuine Parts Company,GPC,14.18
175,Amgen,AMGN,14.13
176,CME Group,CME,14.07
177,Analog Devices,ADI,13.88
178,Palo Alto Networks,PANW,13.68
179,Hartford (The),HIG,13.65
180,Citizens Financial Group,CFG,13.57
181,Eaton Corporation,ETN,13.52
182,Phillips 66,PSX,13.48
183,PulteGroup,PHM,13.08
184,Abbott Laboratories,ABT,12.99
185,Trane Technologies,TT,12.94
186,CMS Energy,CMS,12.91
187,Kroger,KR,12.78
188,CSX Corporation,CSX,12.37
189,Fox Corporation (Class B),FOX,12.14
190,Realty Income,O,11.99
191,Hershey Company (The),HSY,11.91
192,Datadog,DDOG,11.61
193,Nordson Corporation,NDSN,11.54
194,Albemarle Corporation,ALB,11.44
195,Teradyne,TER,11.21
196,Franklin Resources,BEN,10.93
197,Mettler Toledo,MTD,10.86
198,Trimble Inc.,TRMB,10.56
199,Pinnacle West,PNW,10.52
200,Freeport-McMoRan,FCX,10.05
201,Axon Enterprise,AXON,9.76
202,Boston Scientific,BSX,9.65
203,PTC Inc.,PTC,9.44
204,D. R. Horton,DHI,9.30
205,American Express,AXP,9.28
206,Crown Castle,CCI,9.27
207,Baker Hughes,BKR,8.92
208,Coca-Cola Company (The),KO,8.91
209,Travelers Companies (The),TRV,8.74
210,Republic Services,RSG,8.62
211,Solventum,SOLV,8.58
212,Synchrony Financial,SYF,8.44
213,American International Group,AIG,8.27
214,Corteva,CTVA,8.14
215,General Motors,GM,8.08
216,Berkshire Hathaway,BRK.B,8.02
217,Pentair,PNR,7.97
218,Cadence Design Systems,CDNS,7.88
219,Textron,TXT,7.40
220,Deere & Company,DE,7.23
221,Visa Inc.,V,7.16
